"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"NOTPOPULATED";"NO_PN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"PRIORITY";"SOURCELIBRARY";"SPICEPREFIX";"TYPE";"VALUE";"VENDOR";
"9";"0.1uf";"C-USC0805";"C0805";"C3, C13, C14, C15, C16, C17, C18, C19, C20";"CAPACITOR, American symbol";"1276-1099-1-ND";"";"";"";"";"";"";"";"63";"";"";"C";"";"";"";
"1";"10 uf ,XR7";"C-USC0805";"C0805";"C1";"CAPACITOR, American symbol";"490-14381-1-ND";"";"";"";"";"";"";"";"63";"";"";"C";"";"";"";
"1";"120k";"R-US_R0805";"R0805";"R23";"RESISTOR, American symbol";"2019-RK73H2ATTD1203FCT-ND ";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";
"3";"120k";"R-US_R0805";"R0805";"R2, R26, R27";"RESISTOR, American symbol";"2019-RK73H2ATTD1203FCT-ND";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";
"1";"1o";"R-US_R0805";"R0805";"R1";"RESISTOR, American symbol";"RNCP0805FTD1R00CT-ND";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";
"1";"1uf";"C-USC0805";"C0805";"C4";"CAPACITOR, American symbol";"311-3497-1-ND";"";"";"";"";"";"";"";"63";"";"";"C";"X7R";"";"";
"1";"390k";"R-US_R0805";"R0805";"R19";"RESISTOR, American symbol";"RK73H2ATTD3903FCT-ND ";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";
"2";"4.7k";"R-US_R0805";"R0805";"R13, R28";"RESISTOR, American symbol";"311-4.7KARCT-ND";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";
"4";"470k";"R-US_R0805";"R0805";"R5, R14, R16, R25";"RESISTOR, American symbol";"2019-RK73H2ATTD4703FCT-ND";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";
"1";"5.6k";"R-US_R0805";"R0805";"R24";"RESISTOR, American symbol";"2019-RK73H2ATTD5601FCT-ND";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";
"1";"560k";"R-US_R0805";"R0805";"R15";"RESISTOR, American symbol";"2019-RK73H2ATTD5603FCT-ND";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";
"1";"7.5M";"R-US_R0805";"R0805";"R22";"RESISTOR, American symbol";"541-7.50MCCT-ND";"";"";"";"";"";"";"";"85";"";"";"R";"";"";"";
"1";"74LVC1G74DCT";"74LVC1G74DCT";"DCT_R-PDSO-G8";"IC7";"D type flipflo with async Set and Clear";"SN74LVC1G74DCTR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
