Qty;Value;Device;Package;Parts;Description;DIGIKEY;MANF-PN;MOUSER;LOADED ?;PACKAGE;SF_ID;SPARKFUN
1;diode Shottky 60V/2A;D-B260A;SMA-DO214AC;D2;DIODE SCHOTTKY 60V 2A SMA;B260A-FDICT-ND;B260A-13-F;;NOTLOADED;SMA;;
1;0;R-US_R1210W;R1210W;R8;RESISTOR, American symbol;YAG3375CT-ND;;;;;;
2;0.1 uF;CAP-0603-0.1UF;C0603;C1, C5;CAP CER 0.1UF 50V X7R 0603;478-5052-1-ND;06035C104KAT2A;;;603;;
1;1;R-US_R0603;R0603;R2;RESISTOR, American symbol;;;603-RC0201JR-071RL;;;;
1;1 uF;CAP-0603-1UF;C0603;C6;CAP CER 0.1UF 50V X7R 0603;587-2984-1-ND;TMK107B7105KA-T;;;603;;
1;10 uF;CAP-0805-10UF-TANT;C0805_POL;C7;CAP TANT 10UF 10V X5R 0805;478-3281-1-ND;TAJP106M010RNJ;;;805;;
1;10K;RES-0603-10K;R0603;R6;RES SMD 10K OHM 1% 1/10W 0603;541-10.0KHCT-ND;CRCW060310K0FKEA;;NOTLOADED;603;;
1;12K;R-US_R0805;R0805;R11;RESISTOR, American symbol;;;;;;;
1;22;R-US_0207/7;0207/7;R10;RESISTOR, American symbol;;;;NOTLOADED;;;
1;2N2222;2N2222;TO92-EBC-OVAL;T1;NPN TRANSISTOR;;;;NOTLOADED;;;
1;434MHz;RFM22434MHZ;RFM22-XXX-S2;RFM22B;Hope RF RFM22 ISM Transceiver Module;;;;;;WRL-10153;
2;51K;RES-0603-51K;R0603;R4, R5;RES SMD 51K OHM 1% 1/10W 0603;541-51.0KHCT-ND;CRCW060351K0FKEA;;;603;;
1;5k;R-US_R0603;R0603;R3;RESISTOR, American symbol;2019-RK73B1JTTD512JCT-ND;;;;;;
2;8.2K;R-US_R0805;R0805;R1, R7;RESISTOR, American symbol;;;;;;;
1;9DOF;9DOF;9DOF;PCB1;;;;;;;;obsolete
1;BU-SMA-V;BU-SMA-V;BU-SMA-V;X2;FEMALE SMA CONNECTOR;A97593-ND – not exact match!;;;;;;
1;INA138;INA138;SOT23-5;IC1;High-Side Measurement Current Shunt Monitor;;;595-INA138NA3K;;;;
1;MAX4594EXK+T21-0076E-M;MAX4594EXK+T21-0076E-M;21-0076E-M;U1;;MAX4594EXK+TCT-ND;;;;;;
1;NP;R-US_R0805;R0805;R12;RESISTOR, American symbol;;;;NOTLOADED;;;
1;RFM22BP;RFM22BP;RFM22BP;RADIO;RFM22BP 1W 433MHz Transceiver, HopeRF;;RFM22BP;;;;;
3;S7V8F3_VOLT_REG-3V3_1AHORZ-DOWN;S7V8F3_VOLT_REG-3V3_1AHORZ-DOWN;S7V_DOWN;VR1, VR2, VR3;;2183-2122-ND;;;;;;
1;SDCARD;SDCARD;SDCARD;U$8;SD CARD Daugher Board;;;;;;;BOB-00544
1;TMP36GRT;TMP36GRT;SOT-23-5;TMP3;SENSOR TEMP ANLG VOLT SOT-23-5;TMP36GRT-REEL7CT-ND;TMP36GRT-REEL7;;;SOT-23-5;;

